Scenario,α Parameter,MA Window,WAL Mean (years),WAL P05 (years),vs Base Mean,vs Base P05
base,0.0,12-mo,4.5629813250339355,3.9261035574574317,+0.0%,+0.0%
moderate_12mo,0.3,12-mo,4.48589761483311,3.8114943572450564,-1.7%,-2.9%
strong_12mo,0.5,12-mo,4.436950335205341,3.737850521592208,-2.8%,-4.8%
strong_18mo,0.5,18-mo,4.406904753035483,3.6777033337157206,-3.4%,-6.3%
strong_24mo,0.5,24-mo,4.384050454090601,3.6279332271706335,-3.9%,-7.6%
