Month,Years,SOFR_3M_Forward,FHLB_3M_Forward,Forward_Spread_bps
0,0.0,0.04079064295528099,0.04253859026036011,17.479473050791213
1,0.08333333333333333,0.04009531053292133,0.04199549141723722,19.001808843158926
2,0.16666666666666666,0.03913298296795649,0.04120763100117379,20.74648033217302
3,0.25,0.0379037485269416,0.04017508314689575,22.713346199541505
4,0.3333333333333333,0.036721474318120964,0.039166154388977505,24.446800708565405
5,0.4166666666666667,0.03572999941228119,0.03829467052609363,25.64671113812443
6,0.5,0.03492927875495102,0.03756060818899556,26.31329434044538
7,0.5833333333333334,0.03439555324022603,0.03707130742483784,26.757541846118144
8,0.6666666666666666,0.03394081665726691,0.03684058673954649,28.99770082279575
9,0.75,0.03356502453670433,0.03686837225990569,33.03347723201358
10,0.8333333333333334,0.03300140199767476,0.0369100508990325,39.08648901357739
11,0.9166666666666666,0.03243777945864519,0.036951729538159304,45.13950079514113
12,1.0,0.031874156919615794,0.03699340817728629,51.19251257670494
13,1.0833333333333333,0.031498452324870384,0.03702119417576153,55.22741850891147
14,1.1666666666666667,0.03131062190640357,0.03703508729452931,57.24465388125745
15,1.25,0.03131062190640375,0.03703508729452931,57.244653881255644
16,1.3333333333333333,0.03131062190640392,0.03703508729452931,57.24465388125391
17,1.4166666666666667,0.03131062190640375,0.03703508729452931,57.244653881255644
18,1.5,0.03131062190640375,0.03703508729452931,57.244653881255644
19,1.5833333333333333,0.03131062190640357,0.03703508729452931,57.24465388125745
20,1.6666666666666667,0.031309126365012395,0.03702637505147806,57.17248686465663
21,1.75,0.031306135285004186,0.03700895065938372,57.02815374379534
22,1.8333333333333333,0.03130164866915326,0.036982814212254314,56.81165543101052
23,1.9166666666666667,0.03129716205330233,0.03695667776512472,56.595157118223895
24,2.0,0.0312926754374514,0.036930541317995315,56.378658805439144
25,2.0833333333333335,0.03128968436299147,0.03691311711391698,56.23432750925514
26,2.1666666666666665,0.031288188827148566,0.03690440505888191,56.16216231733341
27,2.25,0.031288188827148566,0.03690440505888191,56.16216231733341
28,2.3333333333333335,0.031288188827148566,0.03690440505888208,56.162162317335145
29,2.4166666666666665,0.031288188827148566,0.03690440505888191,56.16216231733341
30,2.5,0.031288188827148566,0.03690440505888208,56.162162317335145
31,2.5833333333333335,0.031288188827148566,0.03690440505888191,56.16216231733341
32,2.6666666666666665,0.031426793826564034,0.037116171601786443,56.893777752224096
33,2.75,0.031704027653195334,0.03753976023147807,58.357325782827374
34,2.8333333333333335,0.032119914138938735,0.038175226506407964,60.55312367469229
35,2.9166666666666665,0.03253580062468213,0.03881069278133768,62.74892156655554
36,3.0,0.03295168711042553,0.03944615905626758,64.94471945842052
37,3.0833333333333335,0.033228968596753464,0.039869858788292765,66.40890191539302
38,3.1666666666666665,0.033367621255865565,0.040081736433530676,67.14115177665111
39,3.25,0.033367621255865745,0.040081736433530676,67.14115177664931
40,3.3333333333333335,0.03336762125586592,0.040081736433530676,67.14115177664758
41,3.4166666666666665,0.0333676212558661,0.040081736433530676,67.14115177664577
42,3.5,0.0333676212558661,0.040081736433530676,67.14115177664577
43,3.5833333333333335,0.0333676212558661,0.04008173643353086,67.14115177664758
44,3.6666666666666665,0.03351427285226283,0.04022014630736379,67.05873455100965
45,3.75,0.03380760270601666,0.040496989764071324,66.89387058054663
46,3.8333333333333335,0.03424763748293476,0.040912290516756225,66.64653033821466
47,3.9166666666666665,0.03468767225985303,0.0413275912694413,66.39919009588269
48,4.0,0.0351277070367713,0.0417428920221262,66.15184985354898
49,4.083333333333333,0.03542109021729267,0.042019782900978166,65.98692683685493
50,4.166666666666667,0.03556779514045694,0.042158240196955535,65.90445056498598
51,4.25,0.03556779514045676,0.042158240196955535,65.90445056498778
52,4.333333333333333,0.03556779514045658,0.042158240196955535,65.90445056498952
53,4.416666666666667,0.03556779514045658,0.042158240196955535,65.90445056498952
54,4.5,0.03556779514045658,0.042158240196955535,65.90445056498952
55,4.583333333333333,0.03556779514045658,0.042158240196955535,65.90445056498952
56,4.666666666666667,0.036653411957615845,0.044087655259937186,74.34243302321342
57,4.75,0.03882610581256927,0.047951090156747964,91.24984344178695
58,4.833333333333333,0.04208733889003717,0.0537531606480508,116.65821758013631
59,4.916666666666667,0.04534857196750508,0.05955523113935381,142.06659171848733
60,5.0,0.04860980504497299,0.06535730163065682,167.47496585683837
61,5.083333333333333,0.05078542130528181,0.06922995705897819,184.4453575369638
62,5.166666666666667,0.05187396052779647,0.07116859265347006,192.9463212567359
63,5.25,0.05187396052779629,0.07116859265347024,192.9463212567395
64,5.333333333333333,0.051873960527796116,0.07116859265347024,192.94632125674124
65,5.416666666666667,0.051873960527796116,0.07116859265347006,192.94632125673942
66,5.5,0.051873960527796116,0.07116859265347006,192.94632125673942
67,5.583333333333333,0.051873960527796116,0.07116859265347006,192.94632125673942
68,5.666666666666667,0.05187396052779629,0.07116859265347006,192.9463212567377
69,5.75,0.05187396052779629,0.07116859265346989,192.946321256736
70,5.833333333333333,0.051873960527796116,0.07116859265346989,192.94632125673775
71,5.916666666666667,0.051873960527796116,0.07116859265346971,192.94632125673596
72,6.0,0.051873960527796116,0.07116859265346971,192.94632125673596
73,6.083333333333333,0.051873960527796116,0.07116859265346971,192.94632125673596
74,6.166666666666667,0.05187396052779629,0.07116859265346989,192.946321256736
75,6.25,0.05187396052779647,0.07116859265346989,192.94632125673422
76,6.333333333333333,0.05187396052779647,0.07116859265346989,192.94632125673422
77,6.416666666666667,0.05187396052779647,0.07116859265346989,192.94632125673422
