Approach,Profile_Type,WAL_Years,Final_Balance
Deterministic,Total,4.816682160165629,4584.520179149922
Monte Carlo,Mean (Total),4.8531858480631955,4559.7404539950685
Monte Carlo,P05 (Stable),4.0236457399916725,1425.5042351714246
Analytical,Expected (Total),4.816899159147041,4587.256828736251
Analytical,P05 (Stable),3.890522976820957,1089.7448912506306
Bifurcation 56/44,Total,4.854971847910029,18565.04825078327
Bifurcation 56/44,"Stable (56%, β=0)",4.818277003346227,18565.04825078327
