Month,Years,SOFR_3M_Forward,FHLB_3M_Forward,Forward_Spread_bps
0,0.0,0.041095012377222774,0.04287069358587079,17.756812086480167
1,0.08333333333333333,0.04047281072604232,0.04241027611647219,19.374653904298683
2,0.16666666666666666,0.03961047584839239,0.04173705304839483,21.265772000024427
3,0.25,0.03850807913327188,0.04085108041306888,23.430012797970022
4,0.3333333333333333,0.037445715044114716,0.039982979121417905,25.37264077303189
5,0.4166666666666667,0.03655445834822189,0.03922981228716527,26.753539389433797
6,0.5,0.03583427281458729,0.038591563570665774,27.57290756078487
7,0.5833333333333334,0.035354220507422165,0.038166120452845044,28.118999454228785
8,0.6666666666666666,0.0348009238989464,0.03781872528101786,30.178013820714582
9,0.75,0.03417443325454084,0.03754934450598668,33.749112514458446
10,0.8333333333333334,0.03323487969044727,0.037145307040911034,39.10427350463763
11,0.9166666666666666,0.032295326126353704,0.03674126957583557,44.45943449481862
12,1.0,0.031355772562260145,0.0363372321107601,49.81459548499954
13,1.0833333333333333,0.0307295251369478,0.03606789626693967,53.38371129991866
14,1.1666666666666667,0.0304164622172598,0.035933239576895204,55.16777359635405
15,1.25,0.0304164622172598,0.035933239576895204,55.16777359635405
16,1.3333333333333333,0.0304164622172598,0.035933239576895204,55.16777359635405
17,1.4166666666666667,0.0304164622172598,0.035933239576895204,55.16777359635405
18,1.5,0.0304164622172598,0.035933239576895204,55.16777359635405
19,1.5833333333333333,0.0304164622172598,0.035933239576895204,55.16777359635405
20,1.6666666666666667,0.030463632904711525,0.03597762933649733,55.139964317858016
21,1.75,0.030557977039966922,0.03606641129683581,55.0843425686889
22,1.8333333333333333,0.03069949738354012,0.03619958789917863,55.00090515638514
23,1.9166666666666667,0.03084101772711314,0.03633276450152145,54.91746774408314
24,2.0,0.03098253807068634,0.03646594110386427,54.83403033177934
25,2.0833333333333335,0.031076887726807813,0.03655472794660497,54.77840219797157
26,2.1666666666666665,0.031124063935125436,0.03659912258860931,54.75058653483876
27,2.25,0.031124063935125436,0.03659912258860931,54.75058653483876
28,2.3333333333333335,0.031124063935125436,0.03659912258860931,54.75058653483876
29,2.4166666666666665,0.031124063935125436,0.03659912258860931,54.75058653483876
30,2.5,0.031124063935125255,0.03659912258860931,54.750586534840565
31,2.5833333333333335,0.031124063935125255,0.03659912258860931,54.750586534840565
32,2.6666666666666665,0.0312555161690268,0.03679786882310356,55.423526540767654
33,2.75,0.03151844206967276,0.03719541021949944,56.76968149826676
34,2.8333333333333335,0.031912863073400466,0.03779179571724871,58.78932643848242
35,2.9166666666666665,0.03230728407712835,0.038388181214998165,60.808971378698146
36,3.0,0.032701705080856416,0.038984566712747436,62.82861631891019
37,3.0833333333333335,0.03296467385068258,0.03938220597600246,64.17532125319883
38,3.1666666666666665,0.03309616895376468,0.039581050077355864,64.84881123591184
39,3.25,0.03309616895376468,0.03958105007735604,64.84881123591357
40,3.3333333333333335,0.03309616895376468,0.039581050077355864,64.84881123591184
41,3.4166666666666665,0.03309616895376451,0.03958105007735604,64.8488112359153
42,3.5,0.03309616895376451,0.03958105007735604,64.8488112359153
43,3.5833333333333335,0.03309616895376433,0.03958105007735622,64.84881123591892
44,3.6666666666666665,0.03323122176188491,0.03970537774938716,64.74155987502256
45,3.75,0.033501349990109654,0.03995405222584196,64.52702235732306
46,3.8333333333333335,0.03390657625420843,0.040327092642056785,64.20516387848352
47,3.9166666666666665,0.03431180251830703,0.040700133058271956,63.883305399649245
48,4.0,0.03471702878240581,0.04107317347448678,63.5614469208097
49,4.083333333333333,0.03498720223838383,0.04132188621867065,63.346839802868246
50,4.166666666666667,0.03512230027425769,0.041446252158430855,63.239518841731666
51,4.25,0.035122300274257515,0.041446252158430855,63.2395188417334
52,4.333333333333333,0.03512230027425769,0.041446252158430674,63.23951884172986
53,4.416666666666667,0.03512230027425769,0.041446252158430855,63.239518841731666
54,4.5,0.03512230027425769,0.04144625215843103,63.2395188417334
55,4.583333333333333,0.03512230027425769,0.04144625215843103,63.2395188417334
56,4.666666666666667,0.035492352003105056,0.04218045816649063,66.88106163385575
57,4.75,0.036232625143738414,0.043649537095428494,74.16911951690079
58,4.833333333333333,0.037343289456902795,0.04585415646385034,85.10867006947545
59,4.916666666666667,0.03845395377006753,0.04805877583227236,96.0482206220483
60,5.0,0.039564618083232084,0.05026339520069438,106.98777117462296
61,5.083333333333333,0.04030523066754945,0.051733808561056804,114.28577893507354
62,5.166666666666667,0.040675621840080466,0.05246934900054097,117.93727160460503
63,5.25,0.040675621840080646,0.05246934900054097,117.93727160460323
64,5.333333333333333,0.040675621840080466,0.05246934900054097,117.93727160460503
65,5.416666666666667,0.040675621840080646,0.05246934900054097,117.93727160460323
66,5.5,0.040675621840080466,0.05246934900054097,117.93727160460503
67,5.583333333333333,0.040675621840080466,0.05246934900054097,117.93727160460503
68,5.666666666666667,0.04067562184008029,0.05246934900054097,117.93727160460676
69,5.75,0.040675621840080466,0.05246934900054079,117.93727160460323
70,5.833333333333333,0.040675621840080466,0.05246934900054079,117.93727160460323
71,5.916666666666667,0.040675621840080466,0.05246934900054079,117.93727160460323
72,6.0,0.040675621840080466,0.05246934900054079,117.93727160460323
73,6.083333333333333,0.040675621840080646,0.05246934900054079,117.93727160460142
74,6.166666666666667,0.040675621840080466,0.05246934900054079,117.93727160460323
75,6.25,0.04067562184008029,0.05246934900054097,117.93727160460676
76,6.333333333333333,0.04067562184008029,0.05246934900054097,117.93727160460676
77,6.416666666666667,0.040675621840080466,0.05246934900054114,117.93727160460676
