MA_Window,Alpha,Mar22_MA_Init,Mar22_Excursion,Mar22_Mean_WAL,Mar22_P05_WAL,Mar22_Mean_P05_Gap,Sep25_MA_Init,Sep25_Excursion,Sep25_Mean_WAL,Sep25_P05_WAL,Sep25_Mean_P05_Gap,P05_Period_Gap,Mean_Period_Gap
12,2.0,0.0005025044206365718,0.0023974955793634282,5.072104240465343,3.7144304534127093,1.3576737870526339,0.04413473522822207,0,4.092433792313416,3.308003519167907,0.7844302731455093,-0.40642693424480214,-0.9796704481519267
24,2.0,0.0005864931185011277,0.002313506881498872,4.606629202668024,3.085695508327746,1.5209336943402776,0.04860360280435938,0,3.996879919672414,3.147181734558616,0.8496981851137981,0.06148622623086997,-0.6097492829956095
36,2.0,0.006742444141480184,0.0,4.5014535032650205,2.8698912029950447,1.6315623002699757,0.047649308619594655,0,3.962541264133087,3.0696356290842384,0.8929056350488485,0.19974442608919363,-0.5389122391319336
