Month,Years,ATM_Volatility_bps,ATM_Volatility_pct
1,0.08333333333333333,68.96691277879462,0.006896691277879462
2,0.16666666666666666,69.06184534131907,0.006906184534131907
3,0.25,69.15677790384353,0.006915677790384354
4,0.3333333333333333,69.25171046636798,0.0069251710466367985
5,0.4166666666666667,69.34664302889243,0.006934664302889243
6,0.5,69.44157559141689,0.006944157559141689
7,0.5833333333333334,69.53650815394134,0.006953650815394134
8,0.6666666666666666,69.6314407164658,0.00696314407164658
9,0.75,69.72637327899027,0.006972637327899027
10,0.8333333333333334,69.82130584151471,0.006982130584151472
11,0.9166666666666666,69.91623840403918,0.006991623840403918
12,1.0,70.01117096656363,0.007001117096656363
13,1.0833333333333333,70.7017775824544,0.00707017775824544
14,1.1666666666666667,71.39484543535391,0.007139484543535392
15,1.25,72.08986248938582,0.007208986248938582
16,1.3333333333333333,72.78632502352959,0.007278632502352959
17,1.4166666666666667,73.48373821171299,0.0073483738211712986
18,1.5,74.18161668339391,0.007418161668339391
19,1.5833333333333333,74.87948506463088,0.007487948506463089
20,1.6666666666666667,75.5768784996427,0.00755768784996427
21,1.75,76.27334315285702,0.007627334315285702
22,1.8333333333333333,76.9684366914479,0.007696843669144791
23,1.9166666666666667,77.6617287483623,0.0077661728748362295
24,2.0,78.3528013658356,0.00783528013658356
25,2.0833333333333335,78.61760313989471,0.00786176031398947
26,2.1666666666666665,78.88008161269293,0.007888008161269293
27,2.25,79.1398694032956,0.00791398694032956
28,2.3333333333333335,79.39660930409683,0.007939660930409683
29,2.4166666666666665,79.6499542569145,0.00796499542569145
30,2.5,79.89956732767676,0.007989956732767676
31,2.5833333333333335,80.14512167969916,0.008014512167969915
32,2.6666666666666665,80.38630054555321,0.008038630054555322
33,2.75,80.62279719752584,0.008062279719752584
34,2.8333333333333335,80.85431491666988,0.008085431491666987
35,2.9166666666666665,81.08056696044592,0.008108056696044592
36,3.0,81.30127652895499,0.008130127652895499
37,3.0833333333333335,81.65366345703235,0.008165366345703235
38,3.1666666666666665,82.00021860396303,0.008200021860396303
39,3.25,82.3408940685449,0.00823408940685449
40,3.3333333333333335,82.67565465813017,0.008267565465813018
41,3.4166666666666665,83.00447773962716,0.008300447773962716
42,3.5,83.32735308144832,0.008332735308144832
43,3.5833333333333335,83.64428268640485,0.008364428268640485
44,3.6666666666666665,83.95528061554772,0.008395528061554773
45,3.75,84.2603728029553,0.00842603728029553
46,3.8333333333333335,84.55959686146741,0.00845595968614674
47,3.9166666666666665,84.85300187936558,0.008485300187936558
48,4.0,85.14064820800031,0.008514064820800032
49,4.083333333333333,85.38959744840832,0.008538959744840832
50,4.166666666666667,85.63381819803283,0.008563381819803283
51,4.25,85.87333129839125,0.008587333129839125
52,4.333333333333333,86.10816407557539,0.008610816407557538
53,4.416666666666667,86.3383502464897,0.00863383502464897
54,4.5,86.56392982183043,0.008656392982183042
55,4.583333333333333,86.78494900580559,0.008678494900580558
56,4.666666666666667,87.0014600925961,0.008700146009259611
57,4.75,87.2135213595575,0.00872135213595575
58,4.833333333333333,87.42119695716288,0.008742119695716288
59,4.916666666666667,87.6245567956866,0.00876245567956866
60,5.0,87.82367642862887,0.008782367642862887
61,5.083333333333333,87.87409020594427,0.008787409020594427
62,5.166666666666667,87.92267199508092,0.008792267199508092
63,5.25,87.96945576166075,0.008796945576166075
64,5.333333333333333,88.01447582710605,0.008801447582710606
65,5.416666666666667,88.05776685566366,0.008805776685566365
66,5.5,88.09936384137303,0.008809936384137303
67,5.583333333333333,88.13930209497867,0.008813930209497868
68,5.666666666666667,88.17761723078672,0.008817761723078672
69,5.75,88.21434515346532,0.008821434515346532
70,5.833333333333333,88.24952204478953,0.008824952204478953
71,5.916666666666667,88.28318435033007,0.008828318435033008
72,6.0,88.31536876608627,0.008831536876608627
73,6.083333333333333,88.50887817446771,0.008850887817446772
74,6.166666666666667,88.70071479181043,0.008870071479181042
75,6.25,88.89090372633792,0.008889090372633792
76,6.333333333333333,89.07947077518308,0.008907947077518309
77,6.416666666666667,89.26644241260435,0.008926644241260434
78,6.5,89.45184577796792,0.008945184577796791
79,6.583333333333333,89.63570866349608,0.008963570866349607
80,6.666666666666667,89.81805950178196,0.008981805950178195
81,6.75,89.99892735306993,0.008999892735306993
82,6.833333333333333,90.1783418923023,0.00901783418923023
83,6.916666666666667,90.35633339593227,0.009035633339593226
84,7.0,90.53293272850284,0.009053293272850284
85,7.083333333333333,90.6631908015594,0.009066319080155939
86,7.166666666666667,90.79255178693953,0.009079255178693953
87,7.25,90.92103046642406,0.009092103046642406
88,7.333333333333333,91.04864172686007,0.009104864172686007
89,7.416666666666667,91.17540055720923,0.009117540055720923
90,7.5,91.3013220455692,0.00913013220455692
91,7.583333333333333,91.4264213761679,0.009142642137616789
92,7.666666666666667,91.5507138263302,0.00915507138263302
93,7.75,91.67421476341801,0.009167421476341801
94,7.833333333333333,91.79693964174251,0.009179693964174252
95,7.916666666666667,91.91890399944975,0.009191890399944976
96,8.0,92.04012345537872,0.009204012345537872
97,8.083333333333334,92.01636841968846,0.009201636841968846
98,8.166666666666666,91.99204389762399,0.009199204389762398
99,8.25,91.967156461221,0.0091967156461221
100,8.333333333333334,91.94171269114001,0.009194171269114001
101,8.416666666666666,91.91571917663477,0.009191571917663477
102,8.5,91.88918251552066,0.009188918251552066
103,8.583333333333334,91.86210931414301,0.009186210931414302
104,8.666666666666666,91.83450618734568,0.009183450618734568
105,8.75,91.80637975843928,0.009180637975843928
106,8.833333333333334,91.77773665916993,0.009177773665916994
