Month,Years,Deterministic_Total,MC_Mean_Total,MC_P05_Stable,MC_P25,MC_P50,MC_P75,MC_P95,Analytical_Expected,Analytical_P05_Stable,Bifurcation_Total,Bifurcation_Stable,Bifurcation_NonStable
18,1.5,715909.4607059024,715951.2703180822,689798.443839323,704724.8966522798,715690.6739025046,726654.4472034378,742984.7448670152,715910.0292260009,686966.5627466128,476690.2944467754,476690.2944467754,0.0
19,1.5833333333333333,703715.1592824144,703827.6466245834,675833.3316274591,691942.8823754438,703678.8534398975,715268.3679269288,732524.6004904227,703715.8083096003,672909.3885262441,472343.87206370826,472343.87206370826,0.0
20,1.6666666666666667,691760.7029398261,691941.2688301076,662385.5728026552,679306.6458751645,691800.3977589433,704118.140953626,722188.7644615127,691761.4382104648,659101.4660712052,468038.40839991317,468038.40839991317,0.0
21,1.75,680040.9078474232,680296.1153307857,648922.6950064095,666972.2832594282,680104.36948542,693196.0354363361,712206.2166174803,680041.7350767129,645540.626496755,463773.6806707629,463773.6806707629,0.0
22,1.8333333333333333,668525.7069314034,668868.3354166505,635895.3383168991,654821.2878516633,668412.7983801397,682440.6775008411,702493.1766772514,668526.6317561512,632200.9104717824,459549.4617198547,459549.4617198547,0.0
23,1.9166666666666667,657211.7329695936,657631.3239670583,622997.8797548127,642919.1370873877,657180.7381445412,671940.8175581461,692860.2216704703,657212.7609659847,619081.6693329004,455365.5202355911,455365.5202355911,0.0
24,2.0,646095.4314214074,646590.4242389511,610394.2939447584,631268.5443451009,646030.4300751123,661598.2934484129,683619.4489391057,646096.5680908122,606181.8513019709,451221.4475844567,451221.4475844567,0.0
25,2.0833333333333335,635173.309179641,635740.5143479982,598182.1246594487,619766.2153879674,635167.5731950435,651510.8742315497,674408.1860196244,635174.5599365634,593514.2317402471,447116.8396169012,447116.8396169012,0.0
26,2.1666666666666665,624441.716360488,625088.330302327,586114.871113681,608535.5908152474,624384.4801836966,641471.5668505717,665503.084849875,624443.0865164252,581076.9259049315,443051.1276732198,443051.1276732198,0.0
27,2.25,613919.460499817,614629.5922846723,574200.7845374477,597427.5380797316,613993.7514026636,631696.9373380027,656365.4792727564,613920.9553167986,568888.60363411,439023.7554754729,439023.7554754729,0.0
28,2.3333333333333335,603601.6347963283,604374.4535807074,562750.3052344155,586514.7695084673,603691.5062769505,622053.6772759388,647648.6531184453,603603.2594252375,556945.4512489524,435034.17882956914,435034.17882956914,0.0
29,2.4166666666666665,593483.6737692428,594316.990220051,551420.2488533946,575948.7310924485,593603.947632534,612445.6893200102,638831.1273259575,593485.4332362096,545243.7912348517,431082.02797595493,431082.02797595493,0.0
30,2.5,583561.1281961233,584459.4733945208,540391.1756966464,565455.3489982305,583743.9097542961,603121.3882519596,630929.1392086867,583563.0273966392,533779.8943208705,427166.93696647574,427166.93696647574,0.0
31,2.5833333333333335,573829.6617716204,574787.7312786513,529441.4350907943,554927.2175571192,574132.2612357948,593983.2004108415,623142.3008460143,573831.7054591493,522549.99534799,423288.54362254887,423288.54362254887,0.0
32,2.6666666666666665,564285.0478734712,565303.6359293542,518869.9157313484,544975.6501407572,564730.1656528852,584869.5420773352,615478.3023041098,564287.2406528566,511550.3063726297,419446.4894938294,419446.4894938294,0.0
33,2.75,554918.7109146233,555997.6991172385,508380.58156321954,535226.603273608,555307.7468213995,575977.3064311331,607766.193548897,554921.057210568,500773.0067775917,415636.6814345806,415636.6814345806,0.0
34,2.8333333333333335,545668.1316407942,546839.7823025597,497947.93319677655,525617.0253648455,546073.3193327796,567340.0989621957,600091.3945675822,545670.6353671859,490161.80308981956,411855.20585396024,411855.20585396024,0.0
35,2.9166666666666665,536529.0948200569,537788.5646359756,487749.80912691564,515936.97052677115,536989.7312313514,558934.9217966637,592418.5868836466,536531.7596217355,479713.49641672365,408098.32399658085,408098.32399658085,0.0
36,3.0,527501.8599903183,528845.1437715678,477773.2276860232,506272.6234244532,527991.0945417527,550497.1358974349,585121.8241355759,527504.6892602532,469428.8090721034,404366.06945710443,404366.06945710443,0.0
37,3.0833333333333335,518586.6174994496,520006.50740082253,467520.58091538295,496894.1697204679,519049.95717756834,542173.3958831428,577265.4340116199,518589.6143739394,459304.3675034907,400658.47144248785,400658.47144248785,0.0
38,3.1666666666666665,509787.44777300634,511287.0452204791,457681.0737142791,487897.5663515795,510227.9683953546,533717.8400786065,569495.6082379523,509790.6151622789,449344.15822274255,396979.06052252266,396979.06052252266,0.0
39,3.25,501156.7455616935,502716.0552979331,448301.3215684015,478969.11077794316,501674.4170844511,525659.2868344117,562362.666021015,501160.08657115337,439594.36120294925,393331.1957897426,393331.1957897426,0.0
40,3.3333333333333335,492694.661082216,494309.22215354635,438881.5426746634,470140.84772636497,493127.2880005193,517532.8350892441,555066.2577423286,492698.1786671121,430054.4786256827,389718.0694102504,389718.0694102504,0.0
41,3.4166666666666665,484397.4049373566,486068.07419597456,429546.71830659907,461408.4548146634,484733.2542844347,509514.2459715499,548348.4026716638,484401.1018747827,420720.4769399709,386139.33494577516,386139.33494577516,0.0
42,3.5,476261.2848836869,477991.2762147134,420718.78116884344,452814.80007154867,476547.49975172547,501816.54893691454,541841.1287934681,476265.16377561976,411588.37085067824,382594.6496168365,382594.6496168365,0.0
43,3.5833333333333335,468282.70301927155,470072.7146685999,412100.2727344695,444450.76881316025,468492.923315552,494265.6478473495,534853.0187579155,468286.7662915816,402654.2241884334,379083.67426139506,379083.67426139506,0.0
44,3.6666666666666665,460458.15306231973,462307.9264934701,403092.405711783,436277.8429046759,460648.0833472506,486801.77794080717,528648.6449271087,460462.40296413476,393914.15068489296,375606.07329400646,375606.07329400646,0.0
45,3.75,452784.7518656138,454692.53965246293,395022.06144425354,428184.88271784806,452888.4048669118,479457.1787491705,521939.55312551704,452789.19048524415,385364.76927619515,372162.0251100393,372162.0251100393,0.0
46,3.8333333333333335,445215.93201381864,447197.7262802061,387080.0889492343,420402.96580360044,445335.1927138026,472570.9031607766,515545.0270168094,445220.56069055,376965.67908132414,368751.6873030113,368751.6873030113,0.0
47,3.9166666666666665,437751.61993615644,439804.48496120126,379154.8787264177,412628.2129898315,437828.9604186081,465324.82285397535,509186.8072623477,437756.4397794313,368716.44039215625,365375.19738470984,365375.19738470984,0.0
48,4.0,430391.17032953113,432506.6261387315,371471.87371209555,405014.4114708333,430444.9724789287,458443.6578527606,502790.28731878183,430396.18221157126,360616.060075026,362032.1819203194,362032.1819203194,0.0
49,4.083333333333333,423133.91237417294,425311.79508730443,363627.3953113468,397536.33752559463,423198.54597594636,451185.29998108925,496617.33881321474,423139.1169337862,352664.235393203,358722.27213563735,358722.27213563735,0.0
50,4.166666666666667,415978.67654420534,418219.92379076645,355762.19571815466,390326.71134917927,415913.0728997757,444540.4384168904,489633.575239304,415984.07418152405,344859.36130210327,355444.6252215864,355444.6252215864,0.0
51,4.25,408963.4637424341,411249.9444379155,348123.8591455041,382953.41019788315,408920.8126142529,437762.78561960143,483417.98040276,408969.0553094188,337232.09137735417,352198.42558992933,352198.42558992933,0.0
