Month,Years,SOFR_DF,FHLB_DF
0,0.0,1.0,1.0
1,0.08333333333333333,0.9964553922710236,0.996317254414003
2,0.16666666666666666,0.9930743815866984,0.9928086167753916
3,0.25,0.9897048427989941,0.9893123351790192
4,0.3333333333333333,0.9865797033831933,0.9859960113767393
5,0.4166666666666667,0.9834644320572977,0.9826908043908283
6,0.5,0.9803589976613537,0.9793966769560449
7,0.5833333333333334,0.9775865517823146,0.9764093321388111
8,0.6666666666666666,0.9748219463537334,0.9734310992874099
9,0.75,0.9720651592028913,0.9704619506086248
10,0.8333333333333334,0.9693161682197733,0.9675018583940139
11,0.9166666666666666,0.9665749513568919,0.9645507950196512
12,1.0,0.963841486629109,0.961608732945869
13,1.0833333333333333,0.9613396579233153,0.9586591487065577
14,1.1666666666666667,0.9588443231762898,0.9557186118551149
15,1.25,0.9563554655317621,0.9527870946400948
16,1.3333333333333333,0.9538730681772158,0.9498645693951749
17,1.4166666666666667,0.9513971143437744,0.9469510085388947
18,1.5,0.948927587306088,0.9440463845743955
19,1.5833333333333333,0.9464644703822203,0.9411506700891608
20,1.6666666666666667,0.9440077469335364,0.9382638377547579
21,1.75,0.9415574003645899,0.9353858603265797
22,1.8333333333333333,0.939113414123011,0.9325167106435877
23,1.9166666666666667,0.9366757716993943,0.9296563616280554
24,2.0,0.9342444566271881,0.9268047862853136
25,2.0833333333333335,0.931821180924367,0.9239719277283182
26,2.1666666666666665,0.9294041907981853,0.9211477280471969
27,2.25,0.9269934699448957,0.9183321607753506
28,2.3333333333333335,0.9245890021030408,0.915525199527078
29,2.4166666666666665,0.9221907710533426,0.9127268179973275
30,2.5,0.9197987606185928,0.9099369899614514
31,2.5833333333333335,0.9174129546635446,0.9071556892749599
32,2.6666666666666665,0.9150333370948031,0.9043828898732761
33,2.75,0.912659891860717,0.9016185657714916
34,2.8333333333333335,0.9102926029512706,0.8988626910641232
35,2.9166666666666665,0.9079314543979752,0.89611523992487
36,3.0,0.9055764302737619,0.8933761866063714
37,3.0833333333333335,0.9030722661407268,0.8904119608179195
38,3.1666666666666665,0.9005750266998497,0.8874575703425828
39,3.25,0.8980846928024809,0.8845129825467527
40,3.3333333333333335,0.8956012453529223,0.881578164905099
41,3.4166666666666665,0.89312466530828,0.878653085000211
42,3.5,0.8906549336783194,0.8757377105222387
43,3.5833333333333335,0.8881920315253186,0.8728320092685364
44,3.6666666666666665,0.8857359399639239,0.8699359491433072
45,3.75,0.8832866401610047,0.8670494981572477
46,3.8333333333333335,0.8808441133355089,0.8641726244271956
47,3.9166666666666665,0.8784083407583196,0.8613052961757768
48,4.0,0.8759793037521103,0.8584474817310547
49,4.083333333333333,0.8733982016849554,0.8554526140151433
50,4.166666666666667,0.8708247049206342,0.8524681945011622
51,4.25,0.8682587910498697,0.8494941867384455
52,4.333333333333333,0.8657004377294145,0.8465305544034921
53,4.416666666666667,0.8631496226818565,0.8435772612995234
54,4.5,0.8606063236954246,0.8406342713560403
55,4.583333333333333,0.8580705186237954,0.8377015486283829
56,4.666666666666667,0.8555421853859004,0.8347790572972915
57,4.75,0.8530213019657339,0.8318667616684695
58,4.833333333333333,0.8505078464121607,0.8289646261721466
59,4.916666666666667,0.8480017968387257,0.8260726153626451
60,5.0,0.8455031314234628,0.8231906939179466
61,5.083333333333333,0.8418794493549558,0.8183657028125733
62,5.166666666666667,0.8382712977691231,0.813568992565255
63,5.25,0.8346786101049676,0.8088003974125914
64,5.333333333333333,0.8311013200867609,0.8040597525627757
65,5.416666666666667,0.8275393617228213,0.7993468941899006
66,5.5,0.8239926693042964,0.7946616594282956
67,5.583333333333333,0.8204611774039504,0.7900038863668998
68,5.666666666666667,0.8169448208749576,0.7853734140436659
69,5.75,0.8134435348497003,0.7807700824399985
70,5.833333333333333,0.8099572547385726,0.7761937324752234
71,5.916666666666667,0.8064859162287885,0.7716442060010904
72,6.0,0.8030294552831957,0.7671213457963088
73,6.083333333333333,0.799587808139094,0.7626249955611125
74,6.166666666666667,0.7961609113070595,0.7581549999118607
75,6.25,0.7927487015697727,0.7537112043756667
76,6.333333333333333,0.7893511159808534,0.74929345538506
77,6.416666666666667,0.7859680918636982,0.7449016002726797
78,6.5,0.7825995668103254,0.7405354872659985
79,6.583333333333333,0.779245478680223,0.7361949654820776
80,6.666666666666667,0.7759057655992025,0.7318798849223529
81,6.75,0.7725803659582581,0.7275900964674508
82,6.833333333333333,0.7692692184124291,0.7233254518720357
83,6.916666666666667,0.7659722618796694,0.7190858037596863
84,7.0,0.7626894355397195,0.7148710056178033
85,7.083333333333333,0.7594206788329856,0.7106809117925456
86,7.166666666666667,0.7561659314594217,0.7065153774837971
87,7.25,0.752925133377418,0.7023742587401629
88,7.333333333333333,0.7496982248026921,0.6982574124539945
89,7.416666666666667,0.7464851462071873,0.6941646963564442
90,7.5,0.7432858383179739,0.690095969012549
91,7.583333333333333,0.7401002421161557,0.6860510898163424
92,7.666666666666667,0.7369282988357814,0.6820299189859959
93,7.75,0.733769949962761,0.6780323175589881
94,7.833333333333333,0.7306251372337853,0.6740581473873025
95,7.916666666666667,0.7274938026352521,0.6701072711326538
96,8.0,0.7243758884021954,0.6661795522617413
97,8.083333333333334,0.7212713370172198,0.6622748550415308
98,8.166666666666666,0.7181800912094403,0.6583930445345643
99,8.25,0.7151020939534242,0.654533986594296
100,8.333333333333334,0.712037288468141,0.6506975478604576
101,8.416666666666666,0.7089856182159133,0.6468835957544492
102,8.5,0.7059470269013749,0.6430919984747571
103,8.583333333333334,0.7029214584704319,0.6393226249923999
104,8.666666666666666,0.6999088571092286,0.6355753450464002
105,8.75,0.6969091672431177,0.6318500291392829
106,8.833333333333334,0.6939223335356359,0.6281465485326
107,8.916666666666666,0.6909483008874823,0.624464775242482
108,9.0,0.6879870144355018,0.6208045820352149
109,9.083333333333334,0.685038419551674,0.6171658424228432
110,9.166666666666666,0.6821024618421048,0.613548430658799
111,9.25,0.6791790871460225,0.6099522217335562
112,9.333333333333334,0.6762682415347797,0.6063770913703108
113,9.416666666666666,0.673369871310858,0.6028229160206858
114,9.5,0.6704839230068772,0.5992895728604617
115,9.583333333333334,0.6676103433846093,0.5957769397853325
116,9.666666666666666,0.6647490794339961,0.5922848954066854
117,9.75,0.6619000783721715,0.5888133190474061
118,9.833333333333334,0.6590632876424878,0.5853620907377086
119,9.916666666666666,0.6562386549135462,0.5819310912109894
120,10.0,0.6534261280782312,0.5785202018997053
121,10.083333333333334,0.648615843926424,0.5678456235774028
122,10.166666666666666,0.6438409713270892,0.5573680074735067
123,10.25,0.6391012495933295,0.54708371933528
124,10.333333333333334,0.6343964199573299,0.5369891919674813
125,10.416666666666666,0.6297262255562291,0.527080923995051
126,10.5,0.6250904114180963,0.5173554786486287
127,10.583333333333334,0.6204887244480107,0.5078094825724805
128,10.666666666666666,0.6159209134142439,0.49843962465442027
129,10.75,0.6113867289345434,0.48924265487732144
130,10.833333333333334,0.6068859234625178,0.48021538319182105
131,10.916666666666666,0.6024182512741215,0.4713546784098224
132,11.0,0.5979834684542397,0.4626574671184151
133,11.083333333333334,0.5935813328833711,0.4541207326138354
134,11.166666666666666,0.58921160422441,0.445741513855096
135,11.25,0.5848740439095244,0.4375169044369226
136,11.333333333333334,0.5805684151271312,0.42944405158164245
137,11.416666666666666,0.576294482808968,0.4215201551496734
138,11.5,0.5720520136172585,0.41374246666827036
139,11.583333333333334,0.5678407759319742,0.4061082883781944
140,11.666666666666666,0.5636605398381883,0.39861497229797094
141,11.75,0.5595110771135235,0.3912599193054139
142,11.833333333333334,0.5553921612156922,0.3840405782360981
143,11.916666666666666,0.5513035672701286,0.37695444499846537
144,12.0,0.5472450720577108,0.3699990617052579
145,12.083333333333334,0.5432164540025746,0.3631720158209797
146,12.166666666666666,0.5392174931600161,0.35647093932508656
147,12.25,0.5352479712044841,0.3498935078906177
148,12.333333333333334,0.5313076714176601,0.343437440077983
149,12.416666666666666,0.5273963786766268,0.33710049654362567
150,12.5,0.5235138794421228,0.3308804792632856
151,12.583333333333334,0.5196599617468849,0.32477523076959647
152,12.666666666666666,0.5158344151840751,0.31878263340374874
153,12.75,0.512037030895794,0.3129006085809611
154,12.833333333333334,0.5082676015616773,0.3071271160695057
155,12.916666666666666,0.5045259213875775,0.3014601532830356
156,13.0,0.5008117860943282,0.29589775458597
157,13.083333333333334,0.49712499290659184,0.2904379906116966
158,13.166666666666666,0.4934653405417885,0.2850789675933541
159,13.25,0.4898326291991069,0.27981882670696206
160,13.333333333333334,0.48622666054859653,0.2746557434266722
161,13.416666666666666,0.48264723772033924,0.2695879268919154
162,13.5,0.4790941652937012,0.2646136192862256
163,13.583333333333334,0.47556724928666383,0.2597310952275266
164,13.666666666666666,0.4720662971452333,0.25493866116966757
165,13.75,0.4685911177329278,0.25023465481500207
166,13.833333333333334,0.46514152132034225,0.24561744453780562
